Stock,Beta_2Y
META,2.0167290152492696
REGN,0.06048486061666174
FI,0.5380993582629311
GILD,-0.7662946813399665
MITK,1.823418439600184
FIS,1.1092817348230712
IDCC,1.3867570698207645
COUR,-0.17505621799054397
AMAT,2.2464743954898325
KLAC,1.8824460279860449
NICE,1.9827326624421069
WFC,1.0162440688146774
AMD,3.492920428821706
LLY,0.5910494903138486
NVO,1.207172469617925
DELL,2.1441633243427334
BP,-1.1140829262782415
NOK,-0.6624477865111748
RMBS,1.2583586635672412
EL,1.8104178361201706
UIS,2.5802740582151085
ILMN,2.42020736598598
GOOG,0.8970748449617978
SNPS,1.1976765629090713
GRAL,1.8210726043794816
UNH,-0.8710530759593869
GNRC,2.602253375580591
TXN,1.0388397623501782
ROK,1.4376746453492324
